,title,company,salary,summary
102,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV.",Bolivar Trading,,
103,"Environmental Project Manager; Midland, TX RW",Tetra Tech,,
104,Test Engineer - Entry Level (Temporary),Barrios Technology,,
105,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
106,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
107,Refining Engineer II,Marathon Petroleum Corporation,,
108,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
109,Production/Facilities Engineer,Penn Virginia Corporation,,
110,"Director, Reservoir Engineering",Denbury,,
111,Refining Planning Engineer,Marathon Petroleum Corporation,,
112,Post Doctoral Fellow,Oklahoma State University,,
113,Engineering Project Manager,RaceTrac,,
114,Metals Mechanic,Marathon Petroleum Corporation,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
115,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
116,Lease Operator,Callon Petroleum Operating Company,,
117,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV.",Bolivar Trading,,
118,"Environmental Project Manager; Midland, TX RW",Tetra Tech,,
119,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
120,"Manager, Process Engineering",TC Energy,,
121,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
122,Natural Gas Well Drilling Engineer,Consumers Energy,,
123,Engineering Manager - Modules,Mogas Industries,,
124,Engineering Adjunct (ECE/EEE)(CGCC),Maricopa Community Colleges,,
125,Reservoir Engineer,Collarini Energy Experts,,
126,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
127,Intern/Co-op - Information Technology (2020-2021),Marathon Petroleum Corporation,,
128,Chemist/Nuclear Chemist,Air Force Reserve,,
129,Project Coordinator,International Cooling Tower Inc.,,
130,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
131,Independent Contract Editor--Engineering,American Journal Experts (AJE),,
132,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
133,Engineering Technician III,State of New Mexico,"$35,435 - $56,696 a year","Exposure to sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to moving mechanical…"
134,"Engineer, Production","Cheniere Energy, Inc.",,
135,"Manager, Process Engineering",TC Energy,,
136,Natural Gas Well Drilling Engineer,Consumers Energy,,
137,Test Engineer - Entry Level (Temporary),Barrios Technology,,
138,Engineering Adjunct (ECE/EEE)(CGCC),Maricopa Community Colleges,,
139,Reservoir Engineer,Collarini Energy Experts,,
140,Engineering Manager - Modules,Mogas Industries,,
141,Intern/Co-op - Information Technology (2020-2021),Marathon Petroleum Corporation,,
142,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
143,Chemist/Nuclear Chemist,Air Force Reserve,,
144,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
145,Project Coordinator,International Cooling Tower Inc.,,
146,Engineering Technician III,State of New Mexico,"$35,435 - $56,696 a year","Exposure to sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to moving mechanical…"
147,Instrumentation Technician,Marathon Petroleum Corporation,,
148,Independent Contract Editor--Engineering,American Journal Experts (AJE),,
149,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
150,"Manager, Process Engineering",TC Energy,,
151,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
152,Natural Gas Well Drilling Engineer,Consumers Energy,,
153,Engineering Manager - Modules,Mogas Industries,,
154,Engineering Adjunct (ECE/EEE)(CGCC),Maricopa Community Colleges,,
155,Reservoir Engineer,Collarini Energy Experts,,
156,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
157,Intern/Co-op - Information Technology (2020-2021),Marathon Petroleum Corporation,,
158,Chemist/Nuclear Chemist,Air Force Reserve,,
159,Project Coordinator,International Cooling Tower Inc.,,
160,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
161,Independent Contract Editor--Engineering,American Journal Experts (AJE),,
162,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
163,Engineering Technician III,State of New Mexico,"$35,435 - $56,696 a year","Exposure to sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to moving mechanical…"
164,"Engineer, Production","Cheniere Energy, Inc.",,
165,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
166,Natural Gas Well Drilling Engineer,Consumers Energy,,
167,Engineering Manager - Modules,Mogas Industries,,
168,Engineering Adjunct (ECE/EEE)(CGCC),Maricopa Community Colleges,,
169,Reservoir Engineer,Collarini Energy Experts,,
170,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
171,Intern/Co-op - Information Technology (2020-2021),Marathon Petroleum Corporation,,
172,Chemist/Nuclear Chemist,Air Force Reserve,,
173,Project Coordinator,International Cooling Tower Inc.,,
174,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
175,Independent Contract Editor--Engineering,American Journal Experts (AJE),,
176,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
177,Engineering Technician III,State of New Mexico,"$35,435 - $56,696 a year","Exposure to sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to moving mechanical…"
178,"Engineer, Production","Cheniere Energy, Inc.",,
179,Instrumentation Technician,Marathon Petroleum Corporation,,
180,Chemist II,Core Lab,,
181,Chemical Operator - Level 1,Honeywell,,
182,Natural Gas Well Drilling Engineer,Consumers Energy,,
183,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
184,Part-Time Lecturer of Petroleum Engineering,USC,,
185,Lease Operator,Callon Petroleum Operating Company,,
186,Production Engineer,Occidental Petroleum Corporation,,
187,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
188,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
189,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
190,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
191,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
192,Offshore Planning,Occidental Petroleum Corporation,,
193,"Engineering Technician - El Dorado, AR",Delek US,,
194,Thermal Sciences Engineers,Exponent,,
195,Natural Gas Well Drilling Engineer,Consumers Energy,,
196,Test Engineer - Entry Level (Temporary),Barrios Technology,,
197,Engineering Adjunct (ECE/EEE)(CGCC),Maricopa Community Colleges,,
198,Reservoir Engineer,Collarini Energy Experts,,
199,Engineering Manager - Modules,Mogas Industries,,
200,Intern/Co-op - Information Technology (2020-2021),Marathon Petroleum Corporation,,
201,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
202,Chemist/Nuclear Chemist,Air Force Reserve,,
203,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
204,Project Coordinator,International Cooling Tower Inc.,,
205,Engineering Technician III,State of New Mexico,"$35,435 - $56,696 a year","Exposure to sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to moving mechanical…"
206,Instrumentation Technician,Marathon Petroleum Corporation,,
207,Independent Contract Editor--Engineering,American Journal Experts (AJE),,
208,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
209,"Engineer, Production","Cheniere Energy, Inc.",,
210,UR - Engineering - FT,"Team Industrial Services, Inc.",,
211,Chemical Operator - Level 1,Honeywell,,
212,Natural Gas Well Drilling Engineer,Consumers Energy,,
213,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
214,Part-Time Lecturer of Petroleum Engineering,USC,,
215,Lease Operator,Callon Petroleum Operating Company,,
216,Production Engineer,Occidental Petroleum Corporation,,
217,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
218,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
219,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
220,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
221,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
222,Offshore Planning,Occidental Petroleum Corporation,,
223,"Engineering Technician - El Dorado, AR",Delek US,,
224,Thermal Sciences Engineers,Exponent,,
225,"Manager, Process Engineering",TC Energy,,
226,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
227,Natural Gas Well Drilling Engineer,Consumers Energy,,
228,Engineering Manager - Modules,Mogas Industries,,
229,Engineering Adjunct (ECE/EEE)(CGCC),Maricopa Community Colleges,,
230,Reservoir Engineer,Collarini Energy Experts,,
231,Engineering Technician Supervisor II,State of New Mexico,"$47,199 - $75,518 a year","May include exposure to: ' Sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to '…"
232,Intern/Co-op - Information Technology (2020-2021),Marathon Petroleum Corporation,,
233,Chemist/Nuclear Chemist,Air Force Reserve,,
234,Project Coordinator,International Cooling Tower Inc.,,
235,Delaware Basin Production Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in production engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Production Engineer to manage the…"
236,Independent Contract Editor--Engineering,American Journal Experts (AJE),,
237,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
238,Engineering Technician III,State of New Mexico,"$35,435 - $56,696 a year","Exposure to sunlight, dust, pollen, chemicals, rough/rugged terrain, insects and reptiles, noxious plants and infected trash; exposure to moving mechanical…"
239,"Engineer, Production","Cheniere Energy, Inc.",,
240,Chemist II,Core Lab,,
241,Chemical Operator - Level 1,Honeywell,,
242,Natural Gas Well Drilling Engineer,Consumers Energy,,
243,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
244,Part-Time Lecturer of Petroleum Engineering,USC,,
245,Lease Operator,Callon Petroleum Operating Company,,
246,Production Engineer,Occidental Petroleum Corporation,,
247,EHS Engineer - Air and GHG,Kinder Morgan,"$81,800 - $114,500 a year","Minimum of 3 years of air quality engineering experience.
Establish and maintain effective working relationships with operations, engineering, and business…"
248,Environmental Specialist - Petroleum Cleanup/Tank Inspection...,"City of Jacksonville, FL",,
249,Mechanical Integrity Subsea Engineer,Occidental Petroleum Corporation,,
250,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
251,Engineering Technician,"US Justice, Bureau of Prisons/Federal Prison Syste...","$65,307 - $84,904 a year","Knowledge of engineering/architectural fundamentals and applications to include current building codes, life safety regulations, and all current policy…"
252,Offshore Planning,Occidental Petroleum Corporation,,
253,"Engineering Technician - El Dorado, AR",Delek US,,
254,Thermal Sciences Engineers,Exponent,,
255,Instrumentation Technician,Marathon Petroleum Corporation,,
256,Development Engineer,Gardner Denver Petroleum,,
257,Senior Technical Instructor - Gas Distribution,Xcel Energy,"$72,100 - $102,433 a year","Provide professional safety/technical training consulting across the Company/Enterprise.
Utilize systematic approaches to training to develop and maintain…"
258,Reservoir engineer,International United Technology Group,,
259,Certification Engineer,Project Canary,"$60,000 - $75,000 a year","Petroleum, chemical, or mechanical engineering degree.
The resulting independent, trusted data can inform the procurement of offsets in real-time using…"
260,Manager Loss Control,Valero Energy Corporation,,
261,Chief Technology Engineer,"LanzaJet, Inc.",,
262,Laboratory Technician III,Marathon Petroleum Corporation,,
263,Entry-level Mechanical Engineer - Applications Engineering,A.W. Chesterton Company,"$55,000 - $60,000 a year","Generates and/or recommends engineering changes and designs based on customer requirements.
Generate, check, and/or approve technical drawings and engineering…"
264,Engineering Technology (Oil & Gas),Central Ohio Technical College,,
265,Transportation Specialist (Instructor) (Open to both U.S. Ci...,US Pipeline and Hazardous Materials Safety Adminis...,"$92,143 - $119,787 a year","Undergraduate and Graduate Education: Major study - accounting, business administration, business or commercial law, commerce, economics, engineering, finance,…"
266,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
267,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
268,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
269,Expert on providing Technical Assistance to ALTECH (Energy A...,United Nations Development Programme (UNDP),,
270,Chief Technology Engineer,"LanzaJet, Inc.",,
271,Laboratory Technician III,Marathon Petroleum Corporation,,
272,Entry-level Mechanical Engineer - Applications Engineering,A.W. Chesterton Company,"$55,000 - $60,000 a year","Generates and/or recommends engineering changes and designs based on customer requirements.
Generate, check, and/or approve technical drawings and engineering…"
273,Transportation Specialist (Instructor) (Open to both U.S. Ci...,US Pipeline and Hazardous Materials Safety Adminis...,"$92,143 - $119,787 a year","Undergraduate and Graduate Education: Major study - accounting, business administration, business or commercial law, commerce, economics, engineering, finance,…"
274,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
275,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
276,Engineering/Architecture,US Department of the Air Force - Agency Wide,,
277,Expert on providing Technical Assistance to ALTECH (Energy A...,United Nations Development Programme (UNDP),,
278,Chemist,US Defense Logistics Agency,"$80,161 - $104,214 a year","A. Successful completion of a full 4-year course of study in an accredited college or university leading to a bachelor's or higher degree in physical sciences,…"
279,MPD Field Engineer,Nabors Industries,,
280,Environmental Intern,Nobis Group,,
281,Sr. R&D Chemist - Engine Oils,NewMarket Services Corporation,,
282,Intern,CVR Energy,,
283,Process Engineer - Biorefinery Analysis,National Renewable Energy Laboratory,"$59,100 - $97,600 a year","Our ideal candidate will have experience with use and application of engineering principles, theories and concepts."
284,DATA SCIENTIST,Sensia Global,,
